#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed
288,Vigoroth,Normal,,440,80,80,80,55,55,90
289,Slaking,Normal,,670,150,160,100,95,65,100
290,Nincada,Bug,Ground,266,31,45,90,30,30,40
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40
293,Whismur,Normal,,240,64,51,23,51,23,28
294,Loudred,Normal,,360,84,71,43,71,43,48
295,Exploud,Normal,,480,104,91,63,91,63,68
296,Makuhita,Fighting,,237,72,60,30,20,30,25
297,Hariyama,Fighting,,474,144,120,60,40,60,50
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20
299,Nosepass,Rock,,375,30,45,135,45,90,30
300,Skitty,Normal,,260,50,45,45,35,35,50
301,Delcatty,Normal,,380,70,65,65,55,55,70
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50
304,Aron,Steel,Rock,330,50,70,100,40,40,30
305,Lairon,Steel,Rock,430,60,90,140,50,50,40
306,Aggron,Steel,Rock,530,70,110,180,60,60,50
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80
309,Electrike,Electric,,295,40,45,40,65,40,65
310,Manectric,Electric,,475,70,75,60,105,60,105
311,Plusle,Electric,,405,60,50,40,85,75,95
312,Minun,Electric,,405,60,40,50,75,85,95
313,Volbeat,Bug,,400,65,73,55,47,75,85
314,Illumise,Bug,,400,65,47,55,73,75,85
315,Roselia,Grass,Poison,400,50,60,45,100,80,65
316,Gulpin,Poison,,302,70,43,53,43,53,40
317,Swalot,Poison,,467,100,73,83,73,83,55
318,Carvanha,Water,Dark,305,45,90,20,65,20,65
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95
320,Wailmer,Water,,400,130,70,35,70,35,60
321,Wailord,Water,,500,170,90,45,90,45,60
322,Numel,Fire,Ground,305,60,60,40,65,45,35
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40
324,Torkoal,Fire,,470,70,85,140,85,70,20
325,Spoink,Psychic,,330,60,25,35,70,80,60
326,Grumpig,Psychic,,470,80,45,65,90,110,80
327,Spinda,Normal,,360,60,60,60,60,60,60
328,Trapinch,Ground,,290,45,100,45,45,45,10
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100
331,Cacnea,Grass,,335,50,85,40,85,40,35
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55
333,Swablu,Normal,Flying,310,45,40,60,40,75,50
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80
335,Zangoose,Normal,,458,73,115,60,60,60,90
336,Seviper,Poison,,458,73,100,60,100,60,65
337,Lunatone,Rock,Psychic,440,70,55,65,95,85,70
338,Solrock,Rock,Psychic,440,70,95,85,55,65,70
339,Barboach,Water,Ground,288,50,48,43,46,41,60
340,Whiscash,Water,Ground,468,110,78,73,76,71,60
341,Corphish,Water,,308,43,80,65,50,35,35
342,Crawdaunt,Water,Dark,468,63,120,85,90,55,55
343,Baltoy,Ground,Psychic,300,40,40,55,40,70,55
344,Claydol,Ground,Psychic,500,60,70,105,70,120,75
345,Lileep,Rock,Grass,355,66,41,77,61,87,23
346,Cradily,Rock,Grass,495,86,81,97,81,107,43
347,Anorith,Rock,Bug,355,45,95,50,40,50,75
348,Armaldo,Rock,Bug,495,75,125,100,70,80,45
349,Feebas,Water,,200,20,15,20,10,55,80
350,Milotic,Water,,540,95,60,79,100,125,81
351,Castform,Normal,,420,70,70,70,70,70,70
352,Kecleon,Normal,,440,60,90,70,60,120,40
353,Shuppet,Ghost,,295,44,75,35,63,33,45
354,Banette,Ghost,,455,64,115,65,83,63,65
355,Duskull,Ghost,,295,20,40,90,30,90,25
356,Dusclops,Ghost,,455,40,70,130,60,130,25
357,Tropius,Grass,Flying,460,99,68,83,72,87,51
358,Chimecho,Psychic,,425,65,50,70,95,80,65
359,Absol,Dark,,465,65,130,60,75,60,75
360,Wynaut,Psychic,,260,95,23,48,23,48,23
361,Snorunt,Ice,,300,50,50,50,50,50,50
362,Glalie,Ice,,480,80,80,80,80,80,80
363,Spheal,Ice,Water,290,70,40,50,55,50,25
364,Sealeo,Ice,Water,410,90,60,70,75,70,45
365,Walrein,Ice,Water,530,110,80,90,95,90,65
366,Clamperl,Water,,345,35,64,85,74,55,32
367,Huntail,Water,,485,55,104,105,94,75,52
368,Gorebyss,Water,,485,55,84,105,114,75,52
369,Relicanth,Water,Rock,485,100,90,130,45,65,55
370,Luvdisc,Water,,330,43,30,55,40,65,97
371,Bagon,Dragon,,300,45,75,60,40,30,50
372,Shelgon,Dragon,,420,65,95,100,60,50,50
373,Salamence,Dragon,Flying,600,95,135,80,110,80,100
374,Beldum,Steel,Psychic,300,40,55,80,35,60,30
375,Metang,Steel,Psychic,420,60,75,100,55,80,50
376,Metagross,Steel,Psychic,600,80,135,130,95,90,70
377,Regirock,Rock,,580,80,100,200,50,100,50
378,Regice,Ice,,580,80,50,100,100,200,50
379,Registeel,Steel,,580,80,75,150,75,150,50
380,Latias,Dragon,Psychic,600,80,80,90,110,130,110
381,Latios,Dragon,Psychic,600,80,90,80,130,110,110
382,Kyogre,Water,,670,100,100,90,150,140,90
383,Groudon,Ground,,670,100,150,140,100,90,90
384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95
385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100
386,DeoxysNormal Forme,Psychic,,600,50,150,50,150,50,150
386,DeoxysAttack Forme,Psychic,,600,50,180,20,180,20,150
386,DeoxysDefense Forme,Psychic,,600,50,70,160,70,160,90
386,DeoxysSpeed Forme,Psychic,,600,50,95,90,95,90,180
